TIPO DE PRODUCTO:,Gravámenes Vigentes,Ad / Valorem,Impuesto Selectivo al Consumo,Impuesto General a las Ventas,Impuesto de Promoción Municipal,Derecho Específicos,Derecho Antidumping,Seguro,Sobretasa Tributo,Unidad de Medida:,Sobretasa Sanción,hs_code
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5310900000
  LEY 29666-IGV 20.02.11/DS.055-2011-EF 10.04.11,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5401101000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5401209000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5402200000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5402330000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5404900000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5407510000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8426910000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8426991000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8426992000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8427100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8427200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8427900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8428109000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8428200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8428310000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8428320000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8428330000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8428390000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8428400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8429110000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8429200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8429300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8429400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8429510000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8429590000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430390000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430490000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430500000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430611000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430691000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8430699000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8431410000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8431420000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8432100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8432210000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8536610000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8536690000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539210000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539229000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539292000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539299090
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539392000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539399000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539410000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8539490000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,U 3,N.A.,8539901000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8540110000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8540600000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8540710000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8540810000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8540890000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8540910000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8541290000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8541300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8541600000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8542900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,S,2%,0%,(*),N.A.,9607110000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,S,2%,0%,(*),N.A.,9607190000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,S,2%,0%,(*),N.A.,9607200000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9608400000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9608500000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9608910000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9609100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9609900000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9610000000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9612100000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9612200000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9613100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9613200000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9613800000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9613900000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9615110000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9615900000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9616100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9616200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9617000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,9618000000
  ,Valor,0%,0%,0%,0%,N.A.,N.A.,0.75%,0%,U,N.A.,9801000020
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5407540000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5407690000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5407719000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5407740000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5407820000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5407840000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5407930000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5408100090
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5408220000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5504900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5506200000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5509320000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5509420000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5509520000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5509610000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5509920000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5510110000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5510200000
  LEY 29666-IGV 20.02.11/DS.055-2011-EF 10.04.11,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5511200000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5513120000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5513410000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5514110000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5514290000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,S,1.75%,0%,(*),N.A.,5514410000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8432800000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8432909000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433119000
  LEY 29666-IGV 20.02.11/DS.055-2011-EF 10.04.11,Valor,11%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433191000
  LEY 29666-IGV 20.02.11/DS.055-2011-EF 10.04.11,Valor,11%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433199000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433510000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433520000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433530000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433591000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433592000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433599000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433601000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433609000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433901000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8433909000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8434100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8435100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8436100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8436210000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8437801100
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8437900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8438101000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8438102000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8438201000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8438202000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8438300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8438400000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,8438801000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8544110000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8544190000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8544200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8544601000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8544609000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8544700000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8545110000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8545190000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8545200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8545902000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8545909000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8546100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8546200000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8547101000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8547200000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,8547901000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,8601100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,8601200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,8602900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,8603900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,8605000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,0.75%,0%,(*),N.A.,8606100000
  ,Valor,0%,0%,0%,0%,N.A.,N.A.,0.75%,0%,U,N.A.,9804000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2907230000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1%,0%,(*),N.A.,2909410000
  LEY 31651 29.12.2022-D.LEG.1519 30.12.2021-LEY 31105 31.12.2020-D.URG.24-2019-12.12.19-LEY 30899 28.,Valor,0%,0%,0%,0%,N.A.,N.A.,2%,0%,(*),N.A.,104209000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,203110000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,203210000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,204100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,204230000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,204420000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,205000000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,206300000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,207240000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,207270000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,1.25%,0%,(*),N.A.,210120000
  ,Valor,0%,0%,0%,0%,N.A.,N.A.,1.5%,0%,(*),N.A.,305420000
  ,Valor,0%,0%,0%,0%,N.A.,N.A.,1.5%,0%,(*),N.A.,305610000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5514490000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5515130000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5515220000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5516140000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5516220000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5516240000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5516330000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5516410000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5516430000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,11%,0%,16%,2%,N.A.,N.A.,1.75%,0%,(*),N.A.,5516920000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5601300000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5603140000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5603920000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5604100000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5606000000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5701100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5702100000
  LEY 29666-IGV 20.02.11,Valor,6%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,5702390000
